iter	Passed	Remaining
410	4057	5814
411	4066	5804
412	4076	5794
413	4087	5785
414	4096	5775
415	4107	5766
416	4117	5756
417	4127	5746
418	4136	5736
419	4146	5725
420	4155	5714
421	4164	5704
422	4174	5694
423	4184	5684
424	4193	5673
425	4202	5662
426	4212	5652
427	4221	5642
428	4231	5631
429	4240	5621
430	4250	5610
431	4259	5600
432	4269	5590
433	4279	5581
434	4289	5571
435	4299	5561
436	4310	5552
437	4319	5542
438	4330	5533
439	4340	5524
440	4350	5514
441	4360	5504
442	4369	5494
443	4379	5484
444	4389	5474
445	4399	5465
446	4410	5456
447	4419	5445
448	4430	5436
449	4439	5425
450	4449	5415
451	4458	5405
452	4468	5395
453	4478	5385
454	4487	5375
455	4496	5364
456	4506	5354
457	4515	5343
458	4524	5333
459	4534	5322
460	4543	5312
461	4553	5302
462	4563	5292
463	4572	5282
464	4582	5272
465	4592	5262
466	4602	5253
467	4612	5242
468	4621	5232
469	4631	5222
470	4640	5212
471	4650	5202
472	4660	5192
473	4670	5182
474	4680	5173
475	4689	5162
476	4699	5152
477	4708	5142
478	4718	5132
479	4728	5123
480	4738	5112
481	4748	5102
482	4757	5092
483	4766	5082
484	4776	5072
485	4786	5062
486	4796	5052
487	4806	5042
488	4815	5032
489	4825	5022
490	4835	5013
491	4846	5003
492	4856	4994
493	4865	4983
494	4875	4974
495	4885	4963
496	4895	4954
497	4905	4944
498	4914	4934
499	4924	4924
500	4934	4914
501	4943	4904
502	4953	4894
503	4962	4883
504	4972	4873
505	4981	4863
506	4991	4853
507	5000	4843
508	5010	4833
509	5019	4822
510	5029	4812
511	5038	4802
512	5048	4792
513	5057	4782
514	5067	4772
515	5077	4762
516	5087	4752
517	5096	4742
518	5106	4732
519	5115	4722
520	5125	4712
521	5134	4701
522	5143	4691
523	5153	4681
524	5162	4670
525	5171	4660
526	5181	4650
527	5190	4640
528	5200	4630
529	5209	4620
530	5218	4609
531	5228	4599
532	5237	4589
533	5247	4578
534	5256	4568
535	5267	4559
536	5276	4549
537	5287	4540
538	5296	4529
539	5306	4520
540	5316	4511
541	5326	4501
542	5336	4491
543	5346	4481
544	5356	4471
545	5366	4462
546	5376	4452
547	5386	4443
548	5395	4432
549	5406	4423
550	5415	4413
551	5425	4403
552	5434	4393
553	5444	4382
554	5454	4373
555	5464	4363
556	5474	4353
557	5484	4344
558	5493	4334
559	5504	4324
560	5513	4314
561	5523	4304
562	5533	4295
563	5542	4284
564	5552	4274
565	5561	4264
566	5571	4254
567	5581	4245
568	5591	4235
569	5601	4226
570	5611	4215
571	5622	4206
572	5632	4197
573	5641	4187
574	5651	4177
575	5661	4167
576	5671	4157
577	5680	4147
578	5690	4137
579	5701	4128
580	5712	4119
581	5722	4109
582	5732	4100
583	5741	4089
584	5751	4080
585	5761	4070
586	5771	4060
587	5782	4051
588	5791	4041
589	5801	4031
590	5811	4021
591	5820	4011
592	5831	4002
593	5840	3992
594	5850	3982
595	5861	3972
596	5870	3962
597	5880	3953
598	5889	3942
599	5900	3933
600	5910	3923
601	5919	3913
602	5929	3904
603	5939	3893
604	5949	3884
605	5958	3874
606	5968	3864
607	5978	3854
608	5987	3844
609	5998	3834
610	6007	3824
611	6017	3815
612	6027	3805
613	6037	3795
614	6047	3786
615	6057	3775
616	6066	3765
617	6076	3756
618	6086	3746
619	6096	3736
620	6106	3726
621	6116	3717
622	6126	3707
623	6135	3697
624	6145	3687
625	6154	3676
626	6164	3666
627	6173	3657
628	6183	3647
629	6193	3637
630	6202	3627
631	6211	3617
632	6221	3607
633	6230	3596
634	6240	3586
635	6249	3576
636	6259	3566
637	6268	3557
638	6278	3547
639	6288	3537
640	6298	3527
641	6308	3517
642	6318	3508
643	6328	3498
644	6339	3489
645	6349	3479
646	6359	3469
647	6368	3459
648	6378	3449
649	6388	3439
650	6397	3429
651	6407	3420
652	6417	3410
653	6426	3400
654	6437	3390
655	6446	3380
656	6455	3370
657	6465	3360
658	6474	3350
659	6483	3340
660	6493	3330
661	6502	3320
662	6511	3309
663	6521	3299
664	6530	3290
665	6540	3280
666	6549	3269
667	6559	3259
668	6568	3249
669	6577	3239
670	6587	3229
671	6597	3220
672	6606	3210
673	6615	3199
674	6625	3189
675	6634	3179
676	6644	3170
677	6654	3160
678	6663	3150
679	6673	3140
680	6682	3130
681	6692	3120
682	6701	3110
683	6710	3100
684	6720	3090
685	6729	3080
686	6739	3070
687	6748	3060
688	6758	3050
689	6768	3040
690	6777	3030
691	6788	3021
692	6797	3011
693	6807	3001
694	6818	2992
695	6827	2982
696	6837	2972
697	6847	2962
698	6857	2952
699	6867	2943
700	6876	2933
701	6886	2923
702	6896	2913
703	6906	2903
704	6915	2893
705	6925	2883
706	6934	2873
707	6944	2863
708	6953	2854
709	6963	2844
710	6972	2834
711	6981	2824
712	6991	2814
713	7000	2804
714	7010	2794
715	7019	2784
716	7029	2774
717	7039	2764
718	7048	2754
719	7058	2744
720	7068	2735
721	7077	2725
722	7087	2715
723	7096	2705
724	7106	2695
725	7116	2685
726	7125	2675
727	7135	2666
728	7144	2656
729	7154	2646
730	7164	2636
731	7174	2626
732	7183	2616
733	7192	2606
734	7202	2596
735	7211	2586
736	7221	2576
737	7230	2566
738	7240	2557
739	7250	2547
740	7259	2537
741	7270	2527
742	7279	2518
743	7288	2507
744	7299	2498
745	7308	2488
746	7318	2478
747	7329	2469
748	7338	2459
749	7348	2449
750	7358	2439
751	7368	2429
752	7378	2420
753	7387	2410
754	7396	2400
755	7406	2390
756	7415	2380
757	7425	2370
758	7435	2360
759	7444	2350
760	7454	2341
761	7463	2331
762	7472	2321
763	7482	2311
764	7491	2301
765	7500	2291
766	7510	2281
767	7519	2271
768	7528	2261
769	7537	2251
770	7547	2241
771	7557	2231
772	7566	2222
773	7575	2212
774	7585	2202
775	7594	2192
776	7603	2182
777	7612	2172
778	7622	2162
779	7631	2152
780	7641	2142
781	7650	2132
782	7659	2122
783	7669	2112
784	7679	2103
785	7687	2093
786	7697	2083
787	7707	2073
788	7716	2063
789	7725	2053
790	7735	2044
791	7746	2034
792	7758	2025
793	7769	2015
794	7780	2006
795	7792	1996
796	7802	1987
797	7814	1978
798	7826	1968
799	7837	1959
800	7849	1950
801	7861	1940
802	7873	1931
803	7883	1921
804	7894	1912
805	7905	1902
806	7915	1893
807	7926	1883
808	7936	1873
809	7947	1864
810	7957	1854
811	7967	1844
812	7978	1835
813	7989	1825
814	7999	1815
815	8011	1806
816	8021	1796
817	8032	1787
818	8042	1777
819	8052	1767
820	8063	1758
821	8074	1748
822	8085	1738
823	8096	1729
824	8106	1719
825	8116	1709
826	8127	1700
827	8137	1690
828	8147	1680
829	8157	1670
830	8168	1661
831	8178	1651
832	8189	1641
833	8199	1632
834	8209	1622
835	8219	1612
836	8229	1602
837	8239	1592
838	8250	1583
839	8261	1573
840	8272	1564
841	8283	1554
842	8294	1544
843	8305	1535
844	8315	1525
845	8326	1515
846	8337	1506
847	8347	1496
848	8357	1486
849	8368	1476
850	8378	1466
851	8388	1457
852	8399	1447
853	8409	1437
854	8419	1427
855	8429	1418
856	8439	1408
857	8448	1398
858	8458	1388
859	8467	1378
860	8477	1368
861	8486	1358
862	8496	1348
863	8505	1338
864	8515	1329
865	8525	1319
866	8534	1309
867	8544	1299
868	8553	1289
869	8562	1279
870	8572	1269
871	8582	1259
872	8592	1249
873	8601	1240
874	8611	1230
875	8621	1220
876	8630	1210
877	8640	1200
878	8649	1190
879	8659	1180
880	8669	1170
881	8678	1161
882	8687	1151
883	8697	1141
884	8708	1131
885	8718	1121
886	8727	1111
887	8737	1102
888	8748	1092
889	8757	1082
890	8767	1072
891	8776	1062
892	8787	1052
893	8798	1043
894	8808	1033
895	8819	1023
896	8830	1014
897	8840	1004
898	8851	994
899	8861	984
900	8871	974
901	8881	964
902	8892	955
903	8902	945
904	8912	935
905	8921	925
906	8931	915
907	8940	905
908	8950	895
909	8959	886
910	8968	876
911	8978	866
912	8987	856
913	8997	846
914	9006	836
915	9016	826
916	9026	816
917	9035	807
918	9045	797
919	9055	787
920	9065	777
921	9074	767
922	9083	757
923	9092	747
924	9102	738
925	9111	728
926	9120	718
927	9130	708
928	9139	698
929	9149	688
930	9158	678
931	9168	668
932	9177	659
933	9187	649
934	9196	639
935	9205	629
936	9215	619
937	9225	609
938	9234	599
939	9245	590
940	9254	580
941	9264	570
942	9275	560
943	9284	550
944	9295	540
945	9304	531
946	9314	521
947	9324	511
948	9333	501
949	9343	491
950	9352	481
951	9363	472
952	9373	462
953	9382	452
954	9392	442
955	9401	432
956	9411	422
957	9420	413
958	9430	403
959	9439	393
960	9449	383
961	9458	373
962	9468	363
963	9477	353
964	9487	344
965	9496	334
966	9505	324
967	9514	314
968	9524	304
969	9534	294
970	9543	285
971	9553	275
972	9562	265
973	9572	255
974	9581	245
975	9591	235
976	9600	226
977	9610	216
978	9619	206
979	9628	196
980	9638	186
981	9647	176
982	9657	167
983	9667	157
984	9677	147
985	9686	137
986	9695	127
987	9706	117
988	9715	108
989	9725	98
990	9735	88
991	9744	78
992	9755	68
993	9764	58
994	9774	49
995	9784	39
996	9794	29
997	9805	19
998	9814	9
999	9824	0
