iter	Passed	Remaining
0	11	5615
1	24	6027
2	36	6035
3	47	5849
4	57	5672
5	67	5542
6	76	5416
7	84	5192
8	95	5219
9	107	5243
10	116	5191
11	126	5139
12	138	5173
13	148	5170
14	159	5169
15	171	5175
16	181	5151
17	191	5124
18	203	5145
19	212	5111
20	223	5093
21	233	5083
22	243	5056
23	254	5039
24	264	5017
25	274	5000
26	284	4982
27	294	4970
28	305	4956
29	315	4943
30	325	4924
31	335	4911
32	346	4900
33	356	4889
34	367	4883
35	378	4872
36	388	4856
37	398	4849
38	408	4833
39	418	4814
40	428	4796
41	438	4780
42	448	4762
43	457	4745
44	467	4726
45	476	4707
46	486	4690
47	496	4675
48	506	4661
49	516	4644
50	525	4628
51	535	4613
52	545	4598
53	554	4583
54	564	4570
55	574	4556
56	584	4543
57	594	4530
58	604	4515
59	613	4501
60	623	4487
61	633	4473
62	643	4463
63	653	4451
64	663	4438
65	672	4425
66	682	4410
67	691	4394
68	701	4384
69	711	4369
70	720	4355
71	730	4342
72	740	4329
73	750	4318
74	759	4306
75	769	4295
76	779	4284
77	789	4272
78	799	4260
79	809	4249
80	819	4237
81	828	4225
82	840	4222
83	850	4211
84	861	4204
85	871	4193
86	880	4181
87	890	4169
88	900	4157
89	909	4145
90	919	4133
91	929	4122
92	939	4110
93	948	4098
94	958	4086
95	968	4074
96	977	4062
97	987	4049
98	997	4038
99	1006	4027
100	1016	4015
101	1026	4005
102	1035	3993
103	1045	3981
104	1055	3970
105	1064	3958
106	1074	3947
107	1084	3934
108	1093	3923
109	1103	3912
110	1112	3900
111	1122	3889
112	1132	3878
113	1142	3868
114	1152	3859
115	1162	3847
116	1172	3836
117	1181	3826
118	1191	3814
119	1201	3804
120	1211	3793
121	1220	3781
122	1230	3770
123	1239	3759
124	1249	3748
125	1259	3738
126	1269	3727
127	1279	3717
128	1288	3706
129	1298	3695
130	1307	3683
131	1317	3672
132	1326	3661
133	1336	3649
134	1345	3638
135	1355	3627
136	1365	3618
137	1375	3607
138	1384	3595
139	1394	3584
140	1403	3573
141	1414	3565
142	1424	3555
143	1434	3545
144	1444	3535
145	1454	3527
146	1465	3518
147	1475	3509
148	1485	3500
149	1496	3490
150	1506	3482
151	1516	3472
152	1526	3462
153	1537	3453
154	1547	3444
155	1557	3434
156	1567	3425
157	1577	3414
158	1587	3405
159	1597	3395
160	1607	3385
161	1618	3377
162	1628	3367
163	1638	3357
164	1648	3347
165	1658	3337
166	1669	3328
167	1679	3318
168	1689	3309
169	1699	3299
170	1710	3290
171	1721	3281
172	1731	3272
173	1741	3263
174	1752	3254
175	1762	3244
176	1772	3235
177	1783	3225
178	1793	3215
179	1803	3206
180	1814	3197
181	1824	3187
182	1835	3179
183	1845	3169
184	1855	3159
185	1865	3149
186	1875	3139
187	1885	3129
188	1895	3118
189	1905	3109
190	1915	3099
191	1925	3089
192	1935	3079
193	1946	3069
194	1956	3059
195	1966	3049
196	1976	3040
197	1986	3030
198	1997	3020
199	2007	3011
200	2017	3001
201	2027	2991
202	2038	2982
203	2049	2973
204	2059	2963
205	2069	2953
206	2079	2943
207	2090	2934
208	2105	2931
209	2116	2922
210	2127	2914
211	2139	2906
212	2151	2899
213	2162	2889
214	2171	2878
215	2181	2868
216	2190	2857
217	2200	2846
218	2210	2835
219	2219	2824
220	2228	2813
221	2238	2803
222	2247	2792
223	2257	2781
224	2267	2771
225	2276	2760
226	2286	2749
227	2295	2739
228	2305	2728
229	2314	2717
230	2324	2707
231	2334	2696
232	2344	2686
233	2353	2675
234	2363	2665
235	2373	2654
236	2382	2644
237	2392	2633
238	2401	2622
239	2411	2612
240	2421	2602
241	2430	2591
242	2440	2580
243	2450	2570
244	2459	2559
245	2468	2548
246	2478	2538
247	2487	2527
248	2497	2517
249	2506	2506
250	2515	2495
251	2525	2485
252	2535	2475
253	2544	2464
254	2554	2454
255	2564	2444
256	2574	2434
257	2584	2423
258	2594	2414
259	2604	2403
260	2613	2393
261	2623	2382
262	2632	2372
263	2642	2362
264	2652	2352
265	2662	2342
266	2673	2332
267	2685	2324
268	2695	2315
269	2706	2305
270	2718	2297
271	2728	2287
272	2739	2277
273	2750	2268
274	2760	2258
275	2770	2248
276	2781	2238
277	2791	2229
278	2802	2219
279	2813	2210
280	2824	2201
281	2835	2191
282	2847	2183
283	2857	2173
284	2867	2163
285	2878	2153
286	2889	2144
287	2900	2134
288	2910	2125
289	2921	2115
290	2932	2106
291	2943	2096
292	2954	2087
293	2964	2077
294	2975	2067
295	2986	2058
296	2997	2048
297	3007	2038
298	3017	2028
299	3026	2017
300	3036	2007
301	3045	1997
302	3055	1986
303	3064	1976
304	3074	1965
305	3083	1955
306	3093	1944
307	3102	1934
308	3112	1924
309	3122	1913
310	3131	1903
311	3141	1893
312	3151	1882
313	3161	1872
314	3170	1862
315	3180	1851
316	3189	1841
317	3199	1831
318	3208	1820
319	3218	1810
320	3227	1800
321	3237	1789
322	3247	1779
323	3256	1769
324	3266	1758
325	3276	1748
326	3285	1738
327	3295	1727
328	3304	1717
329	3313	1706
330	3322	1696
331	3332	1686
332	3342	1676
333	3352	1666
334	3362	1656
335	3371	1645
336	3381	1635
337	3390	1625
338	3400	1614
339	3409	1604
340	3419	1594
341	3428	1583
342	3437	1573
343	3447	1563
344	3457	1553
345	3466	1542
346	3475	1532
347	3485	1522
348	3495	1512
349	3505	1502
350	3514	1491
351	3523	1481
352	3533	1471
353	3542	1461
354	3552	1451
355	3562	1440
356	3572	1430
357	3581	1420
358	3590	1410
359	3599	1399
360	3610	1390
361	3619	1379
362	3629	1369
363	3639	1359
364	3648	1349
365	3658	1339
366	3668	1329
367	3678	1319
368	3688	1309
369	3697	1299
370	3707	1289
371	3716	1278
372	3727	1268
373	3736	1258
374	3746	1248
375	3755	1238
376	3765	1228
377	3774	1218
378	3784	1208
379	3793	1198
380	3804	1188
381	3815	1178
382	3825	1168
383	3834	1158
384	3844	1148
385	3853	1138
386	3863	1127
387	3872	1117
388	3882	1107
389	3891	1097
390	3901	1087
391	3911	1077
392	3921	1067
393	3931	1057
394	3940	1047
395	3950	1037
396	3959	1027
397	3970	1017
398	3979	1007
399	3989	997
400	3998	987
401	4008	977
402	4018	967
403	4029	957
404	4039	947
405	4049	937
406	4059	927
407	4069	917
408	4080	907
409	4090	897
410	4100	887
411	4110	877
412	4120	867
413	4130	858
414	4140	848
415	4150	838
416	4160	828
417	4170	818
418	4180	808
419	4190	798
420	4200	788
421	4210	778
422	4220	768
423	4230	758
424	4241	748
425	4251	738
426	4261	728
427	4270	718
428	4280	708
429	4291	698
430	4300	688
431	4311	678
432	4321	668
433	4331	658
434	4343	648
435	4354	639
436	4364	629
437	4374	619
438	4384	609
439	4395	599
440	4405	589
441	4415	579
442	4425	569
