iter	Logloss
0	0.6589229186
1	0.6259945132
2	0.5923786601
3	0.5626001688
4	0.5367291788
5	0.5121626264
6	0.494639943
7	0.4769189355
8	0.4567076924
9	0.4405469852
10	0.4272580332
11	0.4144041189
12	0.4043123123
13	0.3911835327
14	0.3791798755
15	0.3681278585
16	0.3584768782
17	0.3490405164
18	0.3410518468
19	0.3343137512
20	0.3280975521
21	0.3233979543
22	0.3166310776
23	0.3111390562
24	0.3060552538
25	0.3007891745
26	0.2953480887
27	0.2922048202
28	0.2885086236
29	0.2846685589
30	0.2814464615
31	0.2786152001
32	0.2761082498
33	0.2731829638
34	0.2708525425
35	0.2680789363
36	0.2656906184
37	0.2632573794
38	0.2609924241
39	0.2592398687
40	0.2572048102
41	0.2552759375
42	0.2534500651
43	0.2517131024
44	0.2505008546
45	0.2491728247
46	0.2479797672
47	0.2464706788
48	0.2451006952
49	0.2440929502
50	0.2427078046
51	0.241789353
52	0.2405140089
53	0.2397213382
54	0.2390293807
55	0.2383568279
56	0.2373304865
57	0.2365941303
58	0.2358741387
59	0.2352008061
60	0.2342505238
61	0.2335644013
62	0.2325981883
63	0.232192083
64	0.2313284213
65	0.2308079472
66	0.2304498223
67	0.2297990977
68	0.2292157903
69	0.2287271867
70	0.2282477735
71	0.2278633138
72	0.2275973206
73	0.2272041276
74	0.2266803898
75	0.2261442017
76	0.225844512
77	0.2255230142
78	0.2249122135
79	0.2243254775
80	0.2238545859
81	0.2234687011
82	0.2230230418
83	0.2226621856
84	0.2222984883
85	0.2219516294
86	0.2216990085
87	0.2213241512
88	0.2209084798
89	0.2205508339
90	0.2201846559
91	0.2197479181
92	0.2194864054
93	0.2191821984
94	0.2189799466
95	0.2187806527
96	0.2184878328
97	0.2180757787
98	0.2177895741
99	0.2175645518
100	0.2173528657
101	0.2171428106
102	0.2168825353
103	0.216666062
104	0.2164700396
105	0.2162707138
106	0.2160619881
107	0.2158610697
108	0.2156742513
109	0.2154751716
110	0.2152843068
111	0.2150857658
112	0.2148485551
113	0.2146592087
114	0.21449669
115	0.2142959716
116	0.2141679884
117	0.2139335457
118	0.2137784306
119	0.2136223226
120	0.2134650902
121	0.2132717102
122	0.2130664359
123	0.212899944
124	0.2126878657
125	0.2125464776
126	0.2124098613
127	0.2121767406
128	0.2119681805
129	0.2118536223
130	0.211715607
131	0.211536011
132	0.2113084266
133	0.2111342742
134	0.2110139009
135	0.2107609407
136	0.2105939283
137	0.2104751613
138	0.2103561625
139	0.2102346012
140	0.2100910582
141	0.2099303775
142	0.2097816923
143	0.2096379514
144	0.2095109719
145	0.209351438
146	0.2092020177
147	0.209068162
148	0.208893233
149	0.208720303
150	0.2085683632
151	0.2084104515
152	0.2082587257
153	0.2081027841
154	0.2079758936
155	0.2078834773
156	0.2077633983
157	0.2076073379
158	0.2075184145
159	0.2074154953
160	0.2073044714
161	0.2071342708
162	0.2069774902
163	0.2068110961
164	0.2066900324
165	0.2065276233
166	0.2063520005
167	0.2062681994
168	0.2061764037
169	0.206056847
170	0.2059176139
171	0.2058334861
172	0.2057596223
173	0.2055642154
174	0.2054462085
175	0.2052926673
176	0.2051793874
177	0.2049786643
178	0.2048933643
179	0.2047579438
180	0.2046400098
181	0.2045087039
182	0.2044040034
183	0.204274593
184	0.2041704874
185	0.2040242924
186	0.2039181755
187	0.2038106713
188	0.2037085392
189	0.2035812112
190	0.203492805
191	0.2033874104
192	0.2031175532
193	0.202905662
194	0.2028228901
195	0.2027081467
196	0.2024942848
197	0.2023901947
198	0.2022510348
199	0.2021572571
200	0.2020876739
201	0.2019713635
202	0.201875495
203	0.2017786891
204	0.2017325068
205	0.2016413304
206	0.2014938167
207	0.2013729676
208	0.2012369965
209	0.201092542
210	0.2010304018
211	0.2009468797
212	0.2008170829
213	0.2007111269
214	0.200636487
215	0.2005784081
216	0.2005035751
217	0.2003646242
218	0.2002737017
219	0.2002075416
220	0.2001257305
221	0.1999795071
222	0.1998818812
223	0.1997955015
224	0.1996633666
225	0.1995994212
226	0.1994968983
227	0.1994183589
228	0.199370576
229	0.1992758226
230	0.1991706823
231	0.1990854383
232	0.1990057894
233	0.1989308168
234	0.1988132693
235	0.1986951059
236	0.1985922448
237	0.1984309963
238	0.1983526101
239	0.1982847915
240	0.1981464381
241	0.1980268538
242	0.1979590037
243	0.1978331011
244	0.1977436613
245	0.1977015314
246	0.1976083986
247	0.1975213276
248	0.1974503976
249	0.1973556922
250	0.1972970443
251	0.1971757429
252	0.1970750809
253	0.197007538
254	0.1969454139
255	0.1968610036
256	0.1967914585
257	0.1966810688
258	0.1965913155
259	0.1965031041
260	0.1964196623
261	0.1963674476
262	0.1962918057
263	0.1961728912
264	0.1961014949
265	0.1960145036
266	0.1959375954
267	0.1958816167
268	0.1958169548
269	0.1957298213
270	0.1956417236
271	0.1955514191
272	0.1954973247
273	0.1953830885
274	0.1953099151
275	0.1952350261
276	0.1951706231
277	0.1951408825
278	0.1950760429
279	0.1950307261
280	0.1949229085
281	0.1948583141
282	0.1946643447
283	0.1946282671
284	0.1945596131
285	0.1944655953
286	0.194373241
287	0.1943317058
288	0.1942568266
289	0.1942067886
290	0.1941122356
291	0.1940122229
292	0.1939239655
293	0.1938658176
294	0.193803941
295	0.1937280272
296	0.1936338217
297	0.1935785245
298	0.1935064523
299	0.1934389366
300	0.1933173126
301	0.1932335174
302	0.1931600945
303	0.1930941038
304	0.1929482687
305	0.1928516444
306	0.1927986033
307	0.1927374881
308	0.1926571122
309	0.1925810213
310	0.192511632
311	0.1924431386
312	0.1923437782
313	0.1922678793
314	0.1922122658
315	0.1921286027
316	0.192056351
317	0.1919774114
318	0.1918817473
319	0.1917984569
320	0.1917300343
321	0.1916283028
322	0.1915554316
323	0.1914658999
324	0.1913987602
325	0.1913159812
326	0.1912727919
327	0.1912109133
328	0.191114148
329	0.1910882043
330	0.1909731742
331	0.190870108
332	0.1908019682
333	0.190728068
334	0.1906385758
335	0.1905589477
336	0.190491549
337	0.1904671911
338	0.1904367573
339	0.1903689958
340	0.1902927299
341	0.1902331622
342	0.1901668817
343	0.1900635642
344	0.1900097468
345	0.1899573869
346	0.1898835201
347	0.1898223717
348	0.1897580605
349	0.1896873777
350	0.1895941833
351	0.1895504079
352	0.1894619426
353	0.1894333607
354	0.1893833243
355	0.1893301044
356	0.1892447737
357	0.1891933484
358	0.1891380638
359	0.1890889434
360	0.1890114134
361	0.188944658
362	0.1888106142
363	0.1887518324
364	0.1886777992
365	0.1886310667
366	0.1885848962
367	0.1884675971
368	0.1883893605
369	0.188328369
370	0.1882401851
