iter	Logloss
0	0.6640678411
1	0.6361958961
2	0.6124627199
3	0.5950666724
4	0.5762907442
5	0.5592112939
6	0.5392642554
7	0.5262749685
8	0.5067419333
9	0.4941714147
10	0.4833973161
11	0.4707653231
12	0.4606385614
13	0.449030084
14	0.4396880451
15	0.4321263008
16	0.422526538
17	0.4154657308
18	0.4069905136
19	0.4010723696
20	0.3938601517
21	0.3880175347
22	0.3783280525
23	0.3712930443
24	0.3671721177
25	0.3594179566
26	0.3540910678
27	0.3494438917
28	0.3445882947
29	0.339196997
30	0.3351273793
31	0.329826077
32	0.3256739873
33	0.3222283666
34	0.3194786594
35	0.3167610401
36	0.3095371985
37	0.3046826437
38	0.3022473625
39	0.2988099176
40	0.2960740653
41	0.289193056
42	0.2864422741
43	0.2830023336
44	0.2792156224
45	0.277035615
46	0.2754694821
47	0.2728214085
48	0.2691400982
49	0.2665143461
50	0.2641954632
51	0.2608685872
52	0.256102378
53	0.2534834775
54	0.2522216472
55	0.2503018301
56	0.248660486
57	0.246159429
58	0.2435980165
59	0.2419647992
60	0.2408820889
61	0.2386925691
62	0.2372626922
63	0.2337795707
64	0.2323170027
65	0.2307791887
66	0.2295849378
67	0.2275015255
68	0.2260767314
69	0.2254877202
70	0.2243451359
71	0.2232485897
72	0.222721684
73	0.2218296529
74	0.2193944129
75	0.21822943
76	0.2171550845
77	0.2160441241
78	0.2151422179
79	0.2145835049
80	0.2137356546
81	0.2130157722
82	0.2121252092
83	0.2113050739
84	0.2094000085
85	0.2083947584
86	0.2072940513
87	0.2061458942
88	0.2052433978
89	0.204497389
90	0.2040859235
91	0.2036784595
92	0.2031176064
93	0.2026259496
94	0.2021787253
95	0.2013077243
96	0.2007594616
97	0.1997669104
98	0.1992672943
99	0.1985137182
100	0.1979220379
101	0.1973514858
102	0.196585016
103	0.1959792513
104	0.1953218381
105	0.1948213096
106	0.1944922087
107	0.1937290558
108	0.193484465
109	0.192978596
110	0.1919583572
111	0.1915140727
112	0.1911901725
113	0.1904785816
114	0.1898662589
115	0.1895640647
116	0.1893286121
117	0.1886471965
118	0.1881909745
119	0.1878816862
120	0.1874801961
121	0.1871958861
122	0.1870128356
123	0.1867898349
124	0.1865487362
125	0.1860901653
126	0.1853732132
127	0.1849352546
128	0.184567282
129	0.184383657
130	0.18381144
131	0.1830289182
132	0.1824517128
133	0.1822028867
134	0.1819734704
135	0.1816618177
136	0.1810571532
137	0.1808164342
138	0.1804310846
139	0.1800657371
140	0.1797689426
141	0.1792436312
142	0.1787432424
143	0.1785368233
144	0.1783498976
145	0.1780429277
146	0.1778111494
147	0.1776069261
148	0.1774871488
149	0.1771824573
150	0.1768558886
151	0.1765839274
152	0.1764541044
153	0.1763169322
154	0.1761298142
155	0.175365373
156	0.175135328
157	0.1749623201
158	0.1742498492
159	0.1740907655
160	0.1735941756
161	0.172646229
162	0.1722676158
163	0.1720609083
164	0.1718068259
165	0.1714499893
166	0.1711091168
167	0.1708143194
168	0.1704769629
169	0.1703563677
170	0.17023438
171	0.1701027712
172	0.1699043414
173	0.1697490468
174	0.1695670896
175	0.169421349
176	0.1692868053
177	0.1691086389
178	0.1687518538
179	0.1685505704
180	0.1683292358
181	0.1682311196
182	0.1680799359
183	0.1679738797
184	0.1677301699
185	0.1672773544
186	0.1670210942
187	0.1668390817
188	0.1665775186
189	0.1664583846
190	0.1663061344
191	0.1661806966
192	0.1659556608
193	0.1658457198
194	0.1655243236
195	0.1654215864
196	0.1653240892
197	0.1651339573
198	0.1648781508
199	0.1645104079
200	0.1643909596
201	0.1642099043
202	0.1638746174
203	0.1637550754
204	0.1636799506
205	0.1634647526
206	0.1632755972
207	0.1631598619
208	0.1630157597
209	0.1629035469
210	0.1627681053
211	0.1626598617
212	0.1625165405
213	0.1623614564
214	0.1622571183
215	0.1621723982
216	0.162085272
217	0.1617158482
218	0.1616506893
219	0.161527432
220	0.161414416
221	0.1610483366
222	0.1609503077
223	0.1608160359
224	0.1607212283
225	0.1606118671
226	0.1601245456
227	0.1599951451
228	0.1598963172
229	0.1596025214
230	0.1592385616
231	0.1591076974
232	0.1589518532
233	0.1588620511
234	0.1587660671
235	0.1585851225
236	0.1583428251
237	0.1582175069
238	0.1581301595
239	0.1580219736
240	0.1578966242
241	0.1578105898
242	0.1577175354
243	0.1573509926
244	0.1570947378
245	0.1570061382
246	0.15692555
247	0.1568553105
248	0.1567800987
249	0.1566622844
250	0.1561508235
251	0.1560571772
252	0.1559436492
253	0.1558464766
254	0.1555961187
255	0.1555013441
256	0.1552305814
257	0.1551177512
258	0.155046172
259	0.1549496571
260	0.1548915108
261	0.1547445677
262	0.154679745
263	0.1545160768
264	0.1542057613
265	0.1541328916
266	0.1540633087
267	0.1539683669
268	0.1538995395
269	0.1537931227
270	0.1537174481
271	0.1535305563
272	0.1534490155
273	0.1533125259
274	0.153185238
275	0.1531085059
276	0.152966551
277	0.1528260342
278	0.1527542778
279	0.1524597949
280	0.1522674279
281	0.1522028914
282	0.1521153361
283	0.152004803
284	0.1519495545
285	0.1518412338
286	0.1517531286
287	0.1517102782
288	0.1516126356
289	0.1513974738
290	0.1513274087
291	0.1512450284
292	0.1511946639
293	0.1510929618
294	0.1510216552
295	0.1508896414
296	0.1508175482
297	0.1507337219
298	0.1506618087
299	0.1505694965
300	0.1504600645
301	0.1503929473
302	0.1502699706
303	0.1499994578
304	0.1499104521
305	0.1498382985
306	0.1497695664
