iter	Passed	Remaining
0	8	4348
1	19	4934
2	30	5055
3	43	5407
4	53	5331
5	64	5336
6	75	5320
7	83	5134
8	94	5138
9	104	5128
10	115	5144
11	126	5163
12	137	5163
13	148	5168
14	159	5169
15	170	5165
16	181	5156
17	192	5151
18	202	5130
19	213	5120
20	224	5118
21	236	5140
22	246	5113
23	256	5091
24	268	5108
25	279	5088
26	289	5062
27	299	5047
28	308	5018
29	318	4994
30	328	4975
31	339	4963
32	350	4953
33	360	4937
34	370	4920
35	381	4912
36	392	4911
37	402	4897
38	413	4890
39	424	4886
40	435	4873
41	445	4853
42	455	4842
43	465	4828
44	475	4812
45	485	4791
46	495	4774
47	505	4761
48	516	4757
49	526	4741
50	537	4728
51	547	4717
52	558	4713
53	569	4702
54	579	4691
55	591	4687
56	601	4672
57	611	4659
58	621	4646
59	632	4636
60	642	4624
61	653	4618
62	664	4607
63	675	4598
64	685	4588
65	695	4576
66	705	4561
67	716	4551
68	726	4535
69	735	4518
70	745	4502
71	754	4484
72	763	4467
73	774	4456
74	783	4442
75	793	4429
76	803	4413
77	812	4397
78	822	4381
79	831	4367
80	841	4351
81	850	4337
82	860	4323
83	869	4308
84	879	4293
85	888	4278
86	898	4265
87	908	4252
88	918	4239
89	928	4228
90	937	4215
91	947	4202
92	957	4190
93	967	4177
94	977	4165
95	986	4153
96	996	4141
97	1007	4132
98	1018	4123
99	1028	4113
100	1038	4101
101	1047	4088
102	1057	4075
103	1067	4063
104	1076	4050
105	1086	4037
106	1095	4024
107	1105	4011
108	1114	3998
109	1124	3987
110	1134	3975
111	1144	3963
112	1154	3952
113	1164	3941
114	1173	3929
115	1183	3916
116	1192	3904
117	1202	3891
118	1211	3879
119	1221	3866
120	1230	3853
121	1239	3840
122	1249	3828
123	1258	3816
124	1268	3804
125	1277	3793
126	1287	3781
127	1297	3770
128	1306	3758
129	1316	3746
130	1325	3734
131	1335	3722
132	1344	3711
133	1354	3699
134	1364	3688
135	1373	3676
136	1382	3664
137	1392	3652
138	1401	3640
139	1411	3629
140	1420	3617
141	1430	3607
142	1440	3595
143	1450	3584
144	1460	3574
145	1470	3565
146	1480	3555
147	1490	3545
148	1501	3536
149	1511	3526
150	1521	3516
151	1531	3505
152	1541	3495
153	1551	3485
154	1561	3475
155	1571	3465
156	1581	3455
157	1592	3446
158	1602	3436
159	1611	3425
160	1621	3414
161	1631	3404
162	1641	3394
163	1651	3384
164	1661	3374
165	1672	3364
166	1681	3353
167	1692	3344
168	1702	3334
169	1712	3324
170	1723	3315
171	1733	3305
172	1743	3295
173	1753	3285
174	1764	3276
175	1774	3267
176	1784	3257
177	1795	3247
178	1805	3238
179	1815	3227
180	1826	3218
181	1835	3207
182	1847	3200
183	1858	3191
184	1868	3182
185	1880	3174
186	1890	3163
187	1900	3154
188	1910	3144
189	1921	3135
190	1931	3125
191	1941	3114
192	1951	3104
193	1962	3094
194	1972	3084
195	1982	3075
196	1994	3067
197	2005	3058
198	2015	3048
199	2025	3038
200	2035	3028
201	2045	3017
202	2055	3007
203	2066	2997
204	2076	2988
205	2086	2977
206	2096	2967
207	2107	2958
208	2118	2949
209	2128	2939
210	2138	2928
211	2148	2918
212	2157	2907
213	2168	2898
214	2179	2888
215	2189	2879
216	2200	2869
217	2211	2860
218	2221	2851
219	2233	2843
220	2243	2832
221	2252	2821
222	2262	2810
223	2271	2799
224	2280	2787
225	2290	2776
226	2300	2767
227	2311	2757
228	2320	2746
229	2330	2735
230	2339	2724
231	2349	2713
232	2358	2702
233	2367	2691
234	2377	2680
235	2386	2670
236	2396	2659
237	2405	2648
238	2415	2637
239	2424	2626
240	2434	2616
241	2444	2605
242	2453	2595
243	2463	2584
244	2473	2574
245	2482	2563
246	2491	2552
247	2500	2541
248	2510	2531
249	2520	2520
250	2529	2509
251	2539	2499
252	2548	2488
253	2558	2477
254	2568	2467
255	2577	2457
256	2587	2446
257	2597	2436
258	2606	2425
259	2616	2414
260	2625	2404
261	2635	2394
262	2645	2383
263	2654	2373
264	2664	2362
265	2673	2351
266	2683	2341
267	2692	2330
268	2702	2320
269	2712	2310
270	2722	2300
271	2732	2290
272	2742	2280
273	2752	2270
274	2762	2260
275	2772	2250
276	2782	2240
277	2792	2230
278	2802	2220
279	2812	2210
280	2823	2200
281	2833	2190
282	2843	2180
283	2853	2170
284	2864	2161
285	2876	2152
286	2887	2142
287	2897	2132
288	2907	2123
289	2918	2113
290	2928	2103
291	2938	2093
292	2949	2083
293	2960	2074
294	2971	2064
295	2981	2054
296	2992	2045
297	3001	2034
298	3011	2024
299	3021	2014
300	3032	2004
