iter	Logloss
0	0.6560885335
1	0.6231565943
2	0.5893920455
3	0.5600493435
4	0.5332438723
5	0.5086993794
6	0.4891085436
7	0.4715430248
8	0.4530586502
9	0.4372198307
10	0.4241134386
11	0.4115499283
12	0.4018443103
13	0.3893420456
14	0.377375729
15	0.3663639455
16	0.356899295
17	0.3484846729
18	0.3404372375
19	0.3336962254
20	0.3266330193
21	0.3221065613
22	0.3151355422
23	0.3100799183
24	0.3046104448
25	0.2994558323
26	0.2941003487
27	0.2908896669
28	0.2873521439
29	0.283795773
30	0.2812591026
31	0.2777611844
32	0.2753538366
33	0.2718643876
34	0.2691550646
35	0.2665731499
36	0.2642950826
37	0.2621934689
38	0.2600193148
39	0.2581085896
40	0.2563016975
41	0.254750858
42	0.2530676977
43	0.2514278789
44	0.2502164085
45	0.2489253521
46	0.2477746825
47	0.2463732236
48	0.2450506615
49	0.2442452338
50	0.2428288716
51	0.2420800103
52	0.240918273
53	0.2395815271
54	0.2385851021
55	0.238049457
56	0.2369813713
57	0.2362816774
58	0.2354336987
59	0.2347517128
60	0.2336698455
61	0.2328164845
62	0.2319978998
63	0.231569959
64	0.2306366442
65	0.2301057221
66	0.2295788888
67	0.2289958982
68	0.2284532723
69	0.2280757442
70	0.2273637179
71	0.2270848833
72	0.2268181915
73	0.2264311524
74	0.2259023848
75	0.225578572
76	0.2252370688
77	0.2248286727
78	0.2244482745
79	0.2241510583
80	0.2237168044
81	0.2232604031
82	0.2227857956
83	0.2223243291
84	0.2220195038
85	0.2216727571
86	0.2214338939
87	0.221075567
88	0.2208158105
89	0.2203701232
90	0.2200735851
91	0.2195993815
92	0.2193745975
93	0.2190443283
94	0.218831281
95	0.2184464352
96	0.218018724
97	0.2178763783
98	0.2176194504
99	0.2174701198
100	0.2172751323
101	0.217057893
102	0.216870513
103	0.2166761235
104	0.2164605329
105	0.2163011393
106	0.2160248219
107	0.2158344903
108	0.2156615459
109	0.2154421676
110	0.2152556364
111	0.2150760665
112	0.2149054781
113	0.2146648909
114	0.2144804069
115	0.2142395491
116	0.2140632107
117	0.2138620207
118	0.2137080656
119	0.2135623268
120	0.2134041344
121	0.2132414041
122	0.2131114987
123	0.2129136761
124	0.2127494402
125	0.212546311
126	0.2124039641
127	0.2122582872
128	0.2120824985
129	0.2119357309
130	0.2118293907
131	0.2116285484
132	0.211378028
133	0.2111792176
134	0.2110829877
135	0.2109406824
136	0.2108140531
137	0.2106726164
138	0.2104899128
139	0.2102798894
140	0.2101558142
141	0.2099863734
142	0.2098789895
143	0.2097562784
144	0.2096006935
145	0.2094551935
146	0.2093009497
147	0.2091513394
148	0.2089622291
149	0.2088781048
150	0.2086909612
151	0.2084983821
152	0.2083703188
153	0.2082859179
154	0.2081542368
155	0.2080434495
156	0.207961316
157	0.2077937032
158	0.2077130603
159	0.207600453
160	0.207494731
161	0.2073703761
162	0.2072078896
163	0.207091336
164	0.2070036075
165	0.2069074291
166	0.2067998266
167	0.2067423827
168	0.2066469701
169	0.2065135885
170	0.2063723119
171	0.2062990473
172	0.206202187
173	0.206087589
174	0.2059446211
175	0.2057839391
176	0.2056543998
177	0.2055567326
178	0.2054729608
179	0.2053893495
180	0.2053077172
181	0.2051917971
182	0.2050636843
183	0.2049216132
184	0.2048284563
185	0.204733844
186	0.2046354442
187	0.2045850668
188	0.2044850708
189	0.2044063108
190	0.2042900276
191	0.2041758604
192	0.2040565941
193	0.2039103076
194	0.2038264224
195	0.2036952449
196	0.203576274
197	0.2034377766
