iter	Logloss
0	0.6585331839
1	0.6258287388
2	0.5916695459
3	0.561860023
4	0.5348097794
5	0.5103337866
6	0.4894609049
7	0.472039719
8	0.453695296
9	0.4376095718
10	0.4245034272
11	0.411902639
12	0.399429981
13	0.3866466308
14	0.374972889
15	0.3641340957
16	0.3545408192
17	0.3453620514
18	0.3374812067
19	0.330319008
20	0.3241379323
21	0.3199255393
22	0.3136040878
23	0.3087367142
24	0.3035346291
25	0.2980719346
26	0.2929556252
27	0.2894174503
28	0.2858489983
29	0.2822576549
30	0.2792708852
31	0.2765685602
32	0.2744657492
33	0.2717130162
34	0.2693209273
35	0.266740863
36	0.2643464489
37	0.2622693454
38	0.2601742161
39	0.2583770213
40	0.2563606416
41	0.2547770687
42	0.2524080726
43	0.250741918
44	0.2495896025
45	0.2487263751
46	0.2474866618
47	0.245903303
48	0.2448612243
49	0.2438746724
50	0.2425395327
51	0.2416110248
52	0.240678833
53	0.2398758464
54	0.2386786236
55	0.237995966
56	0.2370621728
57	0.2364509994
58	0.2357423366
59	0.2350842351
60	0.2338734367
61	0.2330020631
62	0.232209405
63	0.2317607996
64	0.2308978298
65	0.2302953046
66	0.2299088094
67	0.2293154311
68	0.2287389541
69	0.2281911458
70	0.2274655585
71	0.2268852064
72	0.2266115297
73	0.2262275164
74	0.2255401235
75	0.2251068457
76	0.2246720268
77	0.224282901
78	0.2239194607
79	0.2235622062
80	0.2231648289
81	0.2229734708
82	0.2225394164
83	0.2222230765
84	0.2219018254
85	0.2215175712
86	0.221304968
87	0.2209978179
88	0.2207177496
89	0.2203404062
90	0.2199748871
91	0.2196478237
92	0.2193036004
93	0.2190540707
94	0.2188206453
95	0.2185813029
96	0.2181910057
97	0.2180103723
98	0.2177854585
99	0.2175403991
100	0.2173502503
101	0.2171082094
102	0.216863505
103	0.2166700365
104	0.2164720838
105	0.2161756142
106	0.2159378892
107	0.2157640123
108	0.2155192605
109	0.2153216384
110	0.215164663
111	0.2149827608
112	0.2147507465
113	0.2145632115
114	0.2143758624
115	0.2141679199
116	0.2138413972
117	0.2136277062
118	0.2134501362
119	0.2133419079
120	0.2131802269
121	0.2130693992
122	0.2129138807
123	0.212804257
124	0.2126483977
125	0.2124611326
126	0.2123256159
127	0.2122065201
128	0.2120422637
129	0.2118607667
130	0.2117372675
131	0.2114854391
132	0.2112625152
133	0.2110961217
134	0.2110094416
135	0.2108928359
136	0.21074427
137	0.2106180067
138	0.210454409
139	0.2102674806
140	0.2100907691
141	0.2099514458
142	0.2097541344
143	0.209609824
144	0.2092601459
145	0.2089720932
146	0.208830593
147	0.2086872264
148	0.2085175508
149	0.2083778858
150	0.2083016584
151	0.2080961627
152	0.2079272552
153	0.2078157614
154	0.2076794484
155	0.207574202
156	0.2074576878
157	0.2072968194
158	0.2071795345
159	0.2070629949
160	0.2069414407
161	0.2068569677
162	0.2067579315
163	0.2066121787
164	0.2065178627
165	0.2063592088
166	0.2062867884
167	0.2062127761
168	0.2060983712
169	0.205997279
170	0.2058467708
171	0.2056732628
172	0.2055645542
173	0.2053639118
174	0.2052669442
175	0.2051122129
176	0.2049741606
177	0.2048755052
178	0.2047355477
179	0.204624195
180	0.2044917679
181	0.2043901472
182	0.2042959336
183	0.2042102304
184	0.2040996089
185	0.2039901106
186	0.2038773333
187	0.2037810865
188	0.2036904605
189	0.2036177457
190	0.2035057099
191	0.2033926312
192	0.2032622303
193	0.2031409633
194	0.2030346144
195	0.2029148048
196	0.2027976515
197	0.2026810221
198	0.2025578044
199	0.2024391608
200	0.2023511798
201	0.2022390549
202	0.2021275524
203	0.2020316651
204	0.2019452537
205	0.2017809693
206	0.2016885584
207	0.2015276082
208	0.2014121545
209	0.2012713267
210	0.2011819047
211	0.2010601356
212	0.2009484813
213	0.200860857
214	0.2007765337
215	0.2006760562
216	0.2005902356
217	0.2004645638
