iter	Passed	Remaining
0	48	48137
1	88	44203
2	125	41674
3	161	40284
4	201	40118
5	240	39872
6	283	40209
7	324	40189
8	363	39991
9	402	39889
10	443	39830
11	481	39621
12	519	39413
13	558	39339
14	598	39274
15	640	39419
16	677	39155
17	717	39156
18	756	39059
19	794	38953
20	832	38789
21	869	38673
22	907	38540
23	943	38378
24	982	38329
25	1021	38274
26	1059	38172
27	1097	38110
28	1137	38081
29	1175	38010
30	1213	37938
31	1252	37890
32	1290	37828
33	1331	37827
34	1368	37729
35	1404	37616
36	1439	37472
37	1481	37498
38	1524	37558
39	1565	37566
40	1604	37522
41	1645	37533
42	1688	37574
43	1733	37655
44	1773	37640
45	1816	37681
46	1859	37696
47	1906	37812
48	1947	37788
49	1985	37731
50	2024	37663
51	2062	37602
52	2098	37498
53	2137	37445
54	2177	37421
55	2216	37368
56	2255	37319
57	2294	37266
58	2330	37173
59	2369	37118
60	2409	37085
61	2449	37065
62	2490	37040
63	2530	37003
64	2572	36998
65	2612	36973
66	2655	36972
67	2705	37077
68	2744	37034
69	2788	37049
70	2824	36958
71	2859	36857
72	2896	36777
73	2936	36741
74	2978	36732
75	3020	36718
76	3061	36700
77	3102	36669
78	3144	36657
79	3186	36647
80	3228	36632
81	3283	36758
82	3326	36753
83	3367	36718
84	3406	36667
85	3448	36646
86	3491	36643
87	3532	36613
88	3573	36578
89	3615	36554
90	3652	36487
91	3688	36405
92	3728	36360
93	3770	36342
94	3809	36293
95	3846	36223
96	3887	36187
97	3925	36133
98	3964	36081
99	4004	36038
100	4044	35995
101	4081	35933
102	4117	35855
103	4158	35830
104	4197	35777
105	4234	35713
106	4273	35668
107	4313	35627
108	4352	35578
109	4393	35547
110	4429	35478
111	4468	35432
112	4506	35371
113	4544	35320
114	4581	35255
115	4622	35224
116	4659	35165
117	4698	35120
118	4739	35090
119	4774	35011
120	4808	34927
121	4845	34868
122	4885	34830
123	4922	34776
124	4959	34716
125	4999	34682
126	5037	34626
127	5075	34578
128	5116	34548
129	5155	34500
130	5192	34444
131	5233	34413
132	5270	34356
133	5307	34302
134	5347	34260
135	5389	34237
136	5427	34189
137	5469	34164
138	5507	34114
139	5547	34078
140	5587	34038
141	5626	33998
142	5665	33952
143	5702	33898
144	5743	33868
145	5783	33829
146	5820	33775
147	5860	33737
148	5901	33705
149	5936	33641
150	5974	33590
151	6015	33561
152	6054	33518
153	6092	33469
154	6131	33427
155	6173	33400
156	6210	33347
157	6249	33302
158	6291	33279
159	6329	33231
160	6367	33181
161	6408	33148
162	6444	33093
163	6479	33031
164	6517	32984
165	6556	32941
166	6595	32900
167	6631	32841
168	6670	32798
169	6709	32756
170	6746	32708
171	6784	32661
172	6825	32627
173	6861	32573
174	6900	32531
175	6937	32481
176	6977	32441
177	7032	32477
178	7078	32464
179	7116	32419
180	7152	32363
181	7188	32308
182	7228	32271
183	7271	32246
184	7307	32194
185	7350	32167
186	7387	32119
187	7432	32100
188	7470	32057
189	7509	32014
190	7549	31975
191	7585	31920
192	7640	31948
193	7692	31957
194	7731	31915
195	7772	31882
196	7812	31843
197	7854	31814
198	7899	31795
199	7937	31748
200	7975	31703
201	8012	31653
202	8049	31602
203	8086	31552
204	8126	31513
205	8164	31469
206	8201	31419
207	8244	31391
208	8283	31349
209	8319	31296
210	8352	31231
211	8393	31199
212	8432	31158
213	8473	31121
214	8511	31076
215	8550	31036
216	8593	31006
217	8631	30962
218	8674	30934
219	8712	30888
220	8748	30837
221	8790	30805
222	8829	30766
223	8873	30738
224	8914	30706
225	8954	30666
226	8991	30617
227	9027	30567
228	9073	30549
229	9110	30501
230	9150	30462
231	9189	30421
232	9227	30375
233	9265	30329
234	9303	30285
235	9339	30234
236	9376	30186
237	9412	30136
238	9454	30105
239	9494	30065
240	9532	30021
241	9572	29982
242	9609	29936
243	9650	29901
244	9688	29856
245	9725	29808
246	9762	29762
247	9800	29718
248	9838	29672
249	9877	29633
250	9914	29585
251	9953	29543
252	9990	29498
253	10030	29458
254	10068	29416
255	10106	29370
256	10145	29330
257	10182	29284
258	10220	29241
259	10261	29205
260	10298	29159
261	10335	29112
262	10373	29069
263	10412	29028
264	10449	28981
265	10487	28938
266	10526	28897
267	10563	28852
268	10601	28808
269	10640	28768
270	10676	28720
271	10714	28676
272	10750	28629
273	10786	28579
274	10825	28539
275	10861	28491
276	10899	28448
277	10938	28408
278	10977	28368
279	11014	28322
280	11056	28291
281	11094	28247
282	11129	28197
283	11169	28160
284	11211	28126
285	11248	28081
286	11286	28039
287	11324	27997
288	11365	27961
289	11405	27923
290	11443	27881
291	11483	27842
292	11520	27799
293	11556	27751
294	11592	27705
295	11645	27696
296	11702	27698
297	11752	27684
298	11789	27639
299	11827	27597
300	11868	27561
301	11908	27524
302	11948	27486
303	11990	27451
304	12033	27420
305	12075	27387
306	12120	27359
307	12167	27336
308	12212	27310
309	12255	27277
310	12301	27252
311	12339	27210
312	12379	27172
313	12418	27130
314	12455	27085
315	12495	27047
316	12533	27004
317	12569	26956
318	12608	26916
319	12648	26878
320	12688	26840
321	12727	26798
322	12771	26768
323	12811	26729
324	12850	26689
325	12896	26663
326	12939	26631
327	12981	26595
328	13028	26571
329	13067	26531
330	13107	26492
331	13149	26458
332	13193	26427
333	13238	26398
334	13277	26357
335	13318	26319
336	13359	26283
337	13405	26256
338	13445	26217
339	13489	26184
340	13532	26151
341	13573	26114
342	13615	26080
343	13658	26046
344	13709	26028
345	13755	26000
346	13797	25964
347	13845	25941
348	13891	25911
349	13932	25874
350	13971	25832
351	14009	25790
352	14049	25750
353	14087	25707
354	14123	25661
355	14161	25618
356	14200	25576
357	14234	25527
358	14274	25487
359	14312	25444
360	14350	25402
361	14387	25356
362	14426	25315
363	14466	25276
364	14503	25231
365	14542	25191
366	14580	25148
367	14618	25106
368	14659	25067
369	14695	25022
370	14733	24979
371	14771	24937
372	14811	24896
373	14849	24854
374	14890	24816
375	14930	24778
376	14975	24747
377	15012	24703
378	15049	24659
379	15089	24620
380	15127	24577
381	15164	24533
382	15204	24494
383	15245	24455
384	15283	24413
385	15320	24369
386	15357	24326
387	15392	24278
388	15428	24234
389	15469	24195
390	15507	24154
391	15545	24111
392	15584	24070
393	15625	24033
394	15668	23998
395	15708	23958
396	15750	23922
397	15790	23884
398	15827	23840
399	15860	23790
400	15902	23754
401	15940	23712
402	15982	23676
403	16022	23636
404	16061	23596
405	16100	23556
406	16137	23511
407	16176	23472
408	16219	23436
409	16259	23398
410	16299	23359
411	16336	23314
412	16375	23274
413	16416	23236
414	16455	23195
415	16497	23159
416	16534	23116
417	16572	23074
418	16606	23027
419	16647	22989
420	16684	22945
421	16725	22908
422	16767	22872
423	16813	22840
424	16852	22800
425	16892	22761
426	16929	22717
427	16965	22673
428	17001	22628
429	17039	22587
430	17079	22548
431	17123	22514
432	17165	22478
433	17206	22440
434	17246	22400
435	17287	22362
436	17327	22323
437	17368	22285
438	17411	22250
439	17452	22212
440	17492	22172
441	17527	22127
442	17569	22090
443	17610	22052
444	17651	22014
445	17690	21974
446	17727	21930
447	17770	21895
448	17810	21856
449	17852	21820
450	17892	21780
451	17932	21741
452	17973	21702
453	18011	21660
454	18052	21623
455	18087	21578
456	18125	21535
457	18164	21495
458	18205	21457
459	18246	21419
460	18284	21378
461	18322	21336
462	18359	21293
463	18400	21255
464	18438	21214
465	18479	21176
466	18518	21135
467	18559	21097
468	18621	21082
469	18685	21071
470	18738	21046
471	18786	21014
472	18825	20974
473	18866	20936
474	18903	20893
475	18945	20855
476	18982	20813
477	19021	20772
478	19062	20734
479	19100	20692
480	19144	20657
481	19180	20613
482	19222	20575
483	19261	20535
484	19306	20500
485	19345	20459
486	19388	20423
487	19429	20384
488	19465	20341
489	19506	20302
490	19546	20262
491	19589	20226
492	19627	20185
493	19667	20145
494	19708	20106
495	19743	20061
496	19778	20017
497	19818	19977
498	19857	19936
499	19896	19896
500	19938	19858
501	19975	19816
502	20014	19775
503	20054	19736
504	20095	19697
505	20136	19658
506	20178	19621
507	20220	19583
508	20259	19543
509	20299	19503
510	20338	19462
511	20374	19419
512	20413	19378
513	20455	19341
514	20495	19302
515	20534	19261
516	20569	19217
517	20605	19173
518	20643	19132
519	20678	19088
520	20720	19049
521	20756	19006
522	20792	18963
523	20830	18921
524	20871	18883
525	20929	18860
526	20981	18831
527	21030	18799
528	21068	18758
529	21109	18719
530	21152	18682
531	21191	18641
532	21230	18601
533	21268	18560
534	21305	18517
535	21342	18475
536	21382	18436
537	21419	18393
538	21458	18353
539	21498	18313
540	21536	18272
541	21566	18224
542	21608	18185
543	21645	18144
544	21682	18102
545	21722	18062
546	21760	18021
547	21797	17979
548	21836	17938
549	21872	17895
550	21911	17855
551	21951	17815
552	21989	17774
553	22028	17734
554	22066	17692
555	22104	17651
556	22144	17612
557	22187	17575
558	22224	17532
559	22261	17491
560	22307	17456
561	22346	17415
562	22384	17374
563	22423	17334
564	22466	17297
565	22506	17257
566	22550	17221
567	22592	17182
568	22632	17143
569	22672	17103
570	22713	17065
571	22752	17024
572	22788	16982
573	22827	16941
574	22866	16901
575	22903	16859
576	22943	16819
577	22980	16777
578	23016	16735
579	23051	16692
580	23090	16652
581	23135	16616
582	23175	16576
583	23216	16537
584	23254	16496
585	23295	16457
586	23333	16417
587	23378	16380
588	23426	16347
589	23469	16309
590	23510	16270
591	23550	16231
592	23595	16194
593	23634	16154
594	23673	16113
595	23712	16073
596	23750	16032
597	23797	15997
