iter	Passed	Remaining
0	13	6548
1	25	6315
2	37	6193
3	49	6081
4	60	6020
5	71	5911
6	83	5850
7	93	5746
8	103	5628
9	113	5553
10	123	5496
11	134	5461
12	144	5410
13	154	5361
14	164	5320
15	174	5282
16	184	5242
17	195	5226
18	205	5205
19	216	5205
20	227	5185
21	237	5163
22	248	5146
23	258	5126
24	268	5100
25	279	5089
26	289	5077
27	299	5054
28	310	5038
29	320	5016
30	330	5002
31	341	4990
32	351	4969
33	360	4944
34	370	4924
35	380	4901
36	389	4878
37	399	4859
38	409	4836
39	419	4823
40	429	4804
41	438	4785
42	448	4768
43	458	4751
44	467	4731
45	477	4716
46	487	4699
47	497	4683
48	506	4666
49	516	4649
50	526	4632
51	535	4616
52	545	4601
53	555	4587
54	565	4574
55	575	4562
56	585	4549
57	595	4538
58	605	4525
59	615	4511
60	624	4496
61	634	4481
62	643	4466
63	654	4456
64	664	4448
65	674	4434
66	684	4424
67	694	4414
68	705	4403
69	715	4394
70	725	4382
71	734	4368
72	744	4356
73	754	4342
74	764	4331
75	774	4318
76	783	4306
77	793	4294
78	803	4280
79	812	4266
80	822	4254
81	832	4244
82	842	4233
83	854	4232
84	865	4224
85	875	4212
86	885	4202
87	895	4190
88	904	4177
89	914	4165
90	924	4154
91	934	4142
92	944	4131
93	953	4119
94	963	4107
95	973	4095
96	982	4082
97	992	4071
98	1002	4059
99	1011	4047
100	1021	4035
101	1031	4025
102	1041	4013
103	1052	4006
104	1062	3995
105	1071	3983
106	1081	3971
107	1091	3962
108	1101	3951
109	1111	3941
110	1121	3930
111	1131	3919
112	1141	3908
113	1150	3896
114	1160	3884
115	1169	3873
116	1179	3860
117	1190	3852
118	1200	3842
119	1210	3834
120	1220	3823
121	1230	3811
122	1239	3798
123	1249	3787
124	1258	3776
125	1268	3765
126	1278	3753
127	1288	3743
128	1298	3733
129	1307	3721
130	1317	3711
131	1327	3700
132	1336	3688
133	1347	3680
134	1357	3670
135	1367	3660
136	1377	3650
137	1388	3641
138	1398	3631
139	1408	3621
140	1419	3614
141	1429	3604
142	1439	3594
143	1450	3584
144	1460	3575
145	1470	3565
146	1481	3556
147	1491	3546
148	1501	3536
149	1511	3527
150	1521	3517
151	1531	3506
152	1541	3496
153	1551	3486
154	1562	3476
155	1572	3467
156	1582	3456
157	1591	3445
158	1602	3435
159	1611	3425
160	1622	3416
161	1632	3406
