iter	Logloss
0	0.6620672732
1	0.6340442913
2	0.6104828451
3	0.5914174632
4	0.5715047057
5	0.553649942
6	0.5397402097
7	0.5262907109
8	0.5136393829
9	0.5014372129
10	0.4903486476
11	0.480259168
12	0.4674320303
13	0.4589199294
14	0.4432589104
15	0.4350445419
16	0.427588281
17	0.4165272296
18	0.4112012608
19	0.4038716377
20	0.3988789186
21	0.3944657611
22	0.3889913963
23	0.3752303869
24	0.3654591645
25	0.3613968098
26	0.3568075446
27	0.3504070547
28	0.3446528403
29	0.3421946752
30	0.3372162492
31	0.3280277297
32	0.3248817847
33	0.3198606822
34	0.3150727139
35	0.3097323307
36	0.3052877354
37	0.3014759712
38	0.2991091549
39	0.2936455303
40	0.2913193524
41	0.2880342238
42	0.2851060601
43	0.2836297346
44	0.2809141613
45	0.2775797203
46	0.2757396118
47	0.2737012698
48	0.2718805222
49	0.2695657995
50	0.2666362092
51	0.2655913192
52	0.263806346
53	0.2611335809
54	0.2598799472
55	0.2574415129
56	0.2555214724
57	0.2527208248
58	0.2495981263
59	0.2474420201
60	0.2454877174
61	0.2446282916
62	0.2417808983
63	0.2404868311
64	0.2390971783
65	0.2367907155
66	0.2350639849
67	0.2337927042
68	0.2310834839
69	0.2299600647
70	0.2282017611
71	0.2268165427
72	0.2259618245
73	0.2253466337
74	0.2238150579
75	0.2231473062
76	0.2218440294
77	0.2208508226
78	0.2200176749
79	0.218834602
80	0.2175874019
81	0.217072019
82	0.215389523
83	0.2144928303
84	0.2139499468
85	0.2128704932
86	0.2123374837
87	0.2115881731
88	0.20870824
89	0.2076351021
90	0.2067737359
91	0.2058671203
92	0.2045858607
93	0.2035921642
94	0.2032065695
95	0.2025120943
96	0.2016312765
97	0.2012534725
98	0.2004990484
99	0.1996692882
100	0.198854044
101	0.1982538055
102	0.1974548225
103	0.1964248895
104	0.19604299
105	0.1955796233
106	0.1951634242
107	0.1946796374
108	0.194110043
109	0.1935780418
110	0.1932442652
111	0.1928163167
112	0.1923605335
113	0.1920478366
114	0.1913585417
115	0.1903628079
116	0.1901110746
117	0.1889340892
118	0.188557031
119	0.1880808475
120	0.1877216473
121	0.1871631151
122	0.1866762984
123	0.1857556706
124	0.1852164744
125	0.1848894079
126	0.1846036363
127	0.1843268485
128	0.1838297497
129	0.1835987714
130	0.1828059552
131	0.182602563
132	0.181995854
133	0.1811971506
134	0.1809709481
135	0.1800287569
136	0.1797124709
137	0.1794430595
138	0.1792801535
139	0.178944145
140	0.1787476697
141	0.1784498481
142	0.1779562505
143	0.1777244151
144	0.1775412954
145	0.1772222502
146	0.1766818568
147	0.1764682317
148	0.1763051914
149	0.176141544
150	0.1759673249
151	0.1757464688
152	0.1752126108
153	0.1749699235
154	0.1747468326
155	0.174587352
156	0.1740831038
157	0.173872478
158	0.1737404109
159	0.1723913839
160	0.1722637161
161	0.172128092
162	0.1719698572
163	0.1717416514
164	0.1716075975
165	0.1713072159
166	0.1711438838
167	0.1709245446
168	0.1708141046
169	0.1705390414
170	0.1701885148
171	0.1700714343
172	0.1698782534
173	0.169690037
174	0.1690517147
175	0.1688593719
176	0.1686843614
177	0.1685167063
178	0.1676825628
179	0.1672490413
180	0.1670980029
181	0.1670183837
182	0.1669562474
183	0.1667067774
184	0.1662374413
185	0.1660861328
186	0.1659107199
187	0.1657854425
188	0.165566328
189	0.165438394
190	0.165319162
191	0.1650685667
192	0.1649182542
193	0.1646050103
194	0.1644909489
195	0.1643848645
196	0.1636650538
197	0.1634772123
198	0.1633536417
199	0.1631330752
200	0.1630270226
201	0.1628069784
202	0.1624541143
203	0.1623362266
204	0.1621921104
205	0.1620764907
206	0.1619296468
207	0.161795091
208	0.1617342141
209	0.1615242533
210	0.1614150699
211	0.1612695399
212	0.1611950032
213	0.1609995323
214	0.1607323694
215	0.1605118472
216	0.1604109729
217	0.1603189607
218	0.160175071
219	0.1600450938
220	0.1599696011
221	0.1598086034
222	0.1595575983
223	0.1594671996
224	0.1593886986
